run_id,timestamp,generation,duration_sec,training_mode,speed_multiplier,collectors_total,collectors_real,collectors_injected,collectors_alive,hunters_total,hunters_alive,batteries_collected,batteries_collected_real,kills,best_collector_fitness,avg_collector_fitness,best_hunter_fitness,avg_hunter_fitness,avg_fit_battery,avg_fit_proximity,avg_fit_survival,avg_fit_hunter_penalty,avg_fit_death,avg_fit_idle,collector_sees_hunter_frames,collector_danger_frames,collector_escape_events,collector_approach_events,collector_neutral_events,escape_ratio,approach_ratio,avg_nearest_hunter_dist
20260510_154241,2026-05-10 15:45:11,18,3.8929,1,500,55,50,5,1,10,10,196,180,29,5208.686639,-4513.710411,2299.940367,1777.444062,360.000000,52.748456,554.165133,0.000000,-5400.000000,-80.624000,3849,13654,6245,7238,0,0.463176,0.536824,139.324979
20260510_154241,2026-05-10 15:45:15,19,4.0060,1,500,55,50,5,0,10,10,206,142,29,2156.208374,-4348.302294,2435.278744,1765.855354,284.000000,52.300084,587.929622,0.000000,-5200.000000,-72.532000,3931,11835,5191,6453,0,0.445809,0.554191,139.942636
20260510_154241,2026-05-10 15:45:19,20,3.9885,1,500,55,50,5,0,10,10,169,132,23,2179.383513,-3147.247901,2068.237939,1492.675196,264.000000,52.794995,625.593104,0.000000,-4000.000000,-89.636000,3068,16287,7313,8794,0,0.454026,0.545974,127.425496
20260510_154241,2026-05-10 15:45:24,21,4.1100,1,500,55,50,5,2,10,10,227,178,30,4070.674991,-4280.354997,3504.058292,1671.252190,356.000000,51.598838,591.926165,0.000000,-5200.000000,-79.880000,3198,13874,6211,7502,0,0.452928,0.547072,135.418758
20260510_154241,2026-05-10 15:45:27,22,3.8324,1,500,55,50,5,0,10,10,120,99,23,2376.073040,-3238.879490,2145.658504,1523.992480,198.000000,50.253304,597.531206,0.000000,-4000.000000,-84.664000,3576,14901,7091,7647,0,0.481137,0.518863,133.797076
20260510_154241,2026-05-10 15:45:31,23,3.2891,1,500,55,50,5,0,10,10,103,93,27,2121.972430,-4009.682106,2414.013443,1532.277783,186.000000,38.425589,443.080305,0.000000,-4600.000000,-77.188000,2713,10974,4952,5912,0,0.455817,0.544183,123.766018
20260510_154241,2026-05-10 15:45:34,24,3.6645,1,500,55,50,5,0,10,10,142,105,25,1991.131074,-3805.243850,2418.130718,1481.043593,210.000000,42.676785,407.055365,0.000000,-4400.000000,-64.976000,2514,8110,3772,4212,8,0.471972,0.527027,137.883404
20260510_154241,2026-05-10 15:46:16,25,41.1867,0,1,55,50,5,1,10,10,182,140,29,3158.958012,-4480.330559,2344.171467,1558.118336,280.000000,40.192518,444.392923,0.000000,-5200.000000,-44.916000,2631,8745,4038,4561,0,0.469589,0.530411,131.273100
20260510_154823,2026-05-10 15:48:58,0,34.9007,1,500,50,50,0,0,10,10,105,105,28,4623.067926,-4915.309051,2234.753981,1547.623556,210.000000,45.323574,515.283375,0.000000,-5600.000000,-85.916000,3018,11339,5122,6056,0,0.458222,0.541778,131.634448
20260510_154823,2026-05-10 15:49:02,1,4.0452,1,500,51,50,1,4,10,10,188,187,26,3159.707580,-3977.459248,2861.261820,1675.323326,374.000000,63.767566,707.997186,0.000000,-5000.000000,-123.224000,4633,14859,6814,7852,0,0.464612,0.535388,139.492475
20260510_154823,2026-05-10 15:49:06,2,4.3137,1,500,52,50,2,1,10,10,188,187,26,2778.725861,-3719.462634,2497.249239,1535.013321,374.000000,64.530073,766.763293,0.000000,-4800.000000,-124.756000,4186,19981,9360,10426,0,0.473062,0.526938,130.621631
20260510_154823,2026-05-10 15:49:10,3,3.9933,1,500,53,50,3,2,10,10,163,120,21,2482.555468,-3294.276483,2415.592818,1530.588429,240.000000,50.581275,523.882243,0.000000,-4000.000000,-108.740000,2581,8875,3629,5116,0,0.414980,0.585020,133.477913
20260510_154823,2026-05-10 15:49:14,4,4.1466,1,500,54,50,4,2,10,10,205,188,27,3462.854238,-4024.592016,2289.690183,1541.103008,376.000000,59.254275,647.349709,0.000000,-5000.000000,-107.196000,3738,13028,5922,6924,0,0.461000,0.539000,136.905345
20260510_154823,2026-05-10 15:49:18,5,3.3238,1,500,55,50,5,1,10,10,127,123,38,2800.583449,-6135.852349,2788.109241,1892.714601,246.000000,44.693079,458.602571,0.000000,-6800.000000,-85.148000,2245,7763,3090,4545,0,0.404715,0.595285,132.287667
20260510_154823,2026-05-10 15:49:22,6,4.7302,1,500,55,50,5,0,10,10,142,119,24,1920.485351,-3554.702976,2045.769646,1472.295680,238.000000,45.566164,432.390860,0.000000,-4200.000000,-70.660000,2354,8429,3660,4656,0,0.440115,0.559885,132.315070
20260510_154823,2026-05-10 15:49:26,7,3.6572,1,500,55,50,5,2,10,10,153,123,25,3944.075050,-3632.146764,2293.597547,1537.834987,246.000000,49.313812,561.847424,0.000000,-4400.000000,-89.308000,3410,13989,6403,7413,0,0.463448,0.536552,141.835142
20260510_154823,2026-05-10 15:49:30,8,3.9974,1,500,55,50,5,1,10,10,223,210,27,3672.662701,-4088.008129,2661.416213,1573.319939,420.000000,55.726946,543.276926,0.000000,-5000.000000,-107.012000,2929,9720,4186,5385,0,0.437363,0.562637,142.928571
20260510_154823,2026-05-10 15:49:34,9,3.7382,1,500,55,50,5,1,10,10,180,154,29,1719.690515,-4485.591168,2034.177769,1682.867415,308.000000,45.407469,449.477363,0.000000,-5200.000000,-88.476000,3183,10280,4226,5917,0,0.416642,0.583358,138.319511
20260510_154823,2026-05-10 15:49:38,10,3.8590,1,500,55,50,5,1,10,10,129,122,23,3184.390522,-3709.350489,2657.634714,1558.019022,244.000000,52.387336,504.802175,0.000000,-4400.000000,-110.540000,2211,9006,4033,4852,0,0.453911,0.546089,135.491731
20260510_154823,2026-05-10 15:49:41,11,3.4686,1,500,55,50,5,0,10,10,189,172,34,3200.084309,-5441.930182,2238.162708,1867.142170,344.000000,47.616302,478.309516,0.000000,-6200.000000,-111.856000,2993,9332,4054,5114,0,0.442190,0.557810,142.280399
20260510_154823,2026-05-10 15:49:45,12,3.3545,1,500,55,50,5,1,10,10,195,178,35,2903.423326,-5639.798350,2454.374835,1913.329422,356.000000,46.228790,475.928860,0.000000,-6400.000000,-117.956000,2724,9982,4404,5428,0,0.447925,0.552075,134.071111
20260510_154823,2026-05-10 15:49:48,13,3.3579,1,500,55,50,5,1,10,10,152,114,34,2068.712319,-5567.581353,2485.482622,1797.090577,228.000000,38.842437,454.504209,0.000000,-6200.000000,-88.928000,2730,12392,5530,6690,0,0.452537,0.547463,136.078857
